Akt1,11651,mmu-miR-21a-5p,MIMAT0000530,transmir,Experimental,High
Cebpa,12606,Adrb3,11556,tred,Experimental,High
Cebpa,12606,Afp,11576,tred,Experimental,High
Cebpa,12606,Alb,11657,tred,Experimental,High
Cebpa,12606,Amelx,11704,tred,Experimental,High
Cebpa,12606,Fabp4,11770,tred,string,Experimental,High
Cebpa,12606,Rhob,11852,ucsc,tred,Experimental,High
Cebpa,12606,Akr1b7,11997,tred,Experimental,High
Cebpa,12606,Ccnb2,12442,tred,Experimental,High
Cebpa,12606,Ccnd2,12444,tred,Experimental,High
Cebpa,12606,Cdkn1a,12575,tred,string,Experimental,High
Cebpa,12606,Col2a1,12824,tred,Experimental,High
Cebpa,12606,Cpt1a,12894,tred,Experimental,High
Cebpa,12606,Csf3r,12986,kegg,Experimental,High
Cebpa,12606,Csrp2,13008,tred,Experimental,High
Cebpa,12606,Dlx3,13393,tred,Experimental,High
Cebpa,12606,E2f1,13555,kegg,string,Experimental,High
Cebpa,12606,E2f3,13557,kegg,Experimental,High
Cebpa,12606,Nr2f6,13864,tred,Experimental,High
Cebpa,12606,Fgf4,14175,tred,Experimental,High
Cebpa,12606,Fgl2,14190,tred,Experimental,High
Cebpa,12606,Gba,14466,tred,Experimental,High
Cebpa,12606,H2afx,15270,tred,Experimental,High
Cebpa,12606,Il10,16153,tred,Experimental,High
Cebpa,12606,Il12b,16160,tred,Experimental,High
Cebpa,12606,Il4,16189,tred,Experimental,High
Cebpa,12606,Il6,16193,tred,kegg,Experimental,High
Cebpa,12606,Krt10,16661,tred,Experimental,High
Cebpa,12606,Lep,16846,tred,string,Experimental,High
Cebpa,12606,Mmp11,17385,tred,Experimental,High
Cebpa,12606,Myc,17869,kegg,Experimental,High
Cebpa,12606,Neu1,18010,tred,Experimental,High
Cebpa,12606,Neurl1a,18011,tred,Experimental,High
Cebpa,12606,Nos2,18126,tred,Experimental,High
Cebpa,12606,Orm1,18405,tred,Experimental,High
Cebpa,12606,Orm2,18406,tred,Experimental,High
Cebpa,12606,Pdgfra,18595,ucsc,tred,Experimental,High
Cebpa,12606,Per2,18627,kegg,Experimental,High
Cebpa,12606,Pparg,19016,tred,string,Experimental,High
Cebpa,12606,Ptgs2,19225,tred,Experimental,High
Cebpa,12606,Saa3,20210,tred,Experimental,High
Cebpa,12606,Ccl3,20302,tred,Experimental,High
Cebpa,12606,Trf,22041,tred,Experimental,High
Cebpa,12606,Nr1h3,22259,ucsc,tred,Experimental,High
Cebpa,12606,Scgb1a1,22287,ucsc,tred,Experimental,High
Cebpa,12606,E2f2,242705,kegg,Experimental,High
Cebpa,12606,Krt12,268482,tred,Experimental,High
Cebpa,12606,Slco1b2,28253,tred,Experimental,High
Cebpa,12606,Elane,50701,tred,Experimental,High
Cebpa,12606,Nupr1,56312,ucsc,tred,Experimental,High
Cebpa,12606,Retn,57264,tred,Experimental,High
Cebpb,12608,Otc,18416,tred,Experimental,High
Cebpb,12608,Abcb1b,18669,tred,Experimental,High
Cebpb,12608,Pparg,19016,tred,string,Experimental,High
Cebpb,12608,Ptgs1,19224,tred,Experimental,High
Cebpb,12608,Ptgs2,19225,tred,Experimental,High
Cebpb,12608,Saa3,20210,tred,Experimental,High
Cebpb,12608,Apcs,20219,tred,Experimental,High
Cebpb,12608,Ccl3,20302,tred,Experimental,High
Cebpb,12608,Nupr1,56312,tred,Experimental,High
Cebpb,12608,Scgb1a1,22287,tred,Experimental,High
Cebpb,12608,Trp53-ps,22060,tred,Experimental,High
Cebpb,12608,Sod2,20656,tred,Experimental,High
Cebpb,12608,C3,12266,tred,Experimental,High
Cebpb,12608,Cdkn1a,12575,tred,Experimental,High
Cebpb,12608,Col1a1,12842,tred,Experimental,High
Cebpb,12608,Crp,12944,tred,Experimental,High
Cebpb,12608,Dmbt1,12945,tred,Experimental,High
Cebpb,12608,Hgf,15234,tred,Experimental,High
Cebpb,12608,Ighg1,16017,tred,Experimental,High
Cebpb,12608,Il10,16153,ucsc,tred,Experimental,High
Cebpb,12608,Il12b,16160,tred,Experimental,High
Cebpb,12608,Il6,16193,tred,Experimental,High
Cebpb,12608,Krt10,16661,tred,Experimental,High
Cebpb,12608,Met,17295,tred,Experimental,High
Cebpb,12608,Mmp13,17386,tred,Experimental,High
Cebpb,12608,Nos2,18126,tred,Experimental,High
Cebpb,12608,Orm1,18405,tred,Experimental,High
Cebpb,12608,Pck1,18534,tred,Experimental,High
Cebpb,12608,Crip2,68337,tred,Experimental,High
Cebpd,12609,Il10,16153,tred,Experimental,High
Cebpd,12609,C3,12266,tred,Experimental,High
Cebpd,12609,Saa3,20210,tred,Experimental,High
Cebpd,12609,Ptgs2,19225,tred,Experimental,High
Cebpd,12609,Pparg,19016,tred,Experimental,High
Cebpd,12609,Scgb1a1,22287,tred,Experimental,High
Cebpe,110794,Gata1,14460,tred,Experimental,High
Cebpe,110794,Nol3,78688,tred,Experimental,High
Cebpe,110794,Sfpi1,20375,tred,Experimental,High
Cebpe,110794,Myc,17869,tred,Experimental,High
Cebpg,12611,Il6,16193,tred,Experimental,High
Cebpg,12611,Csf3,12985,tred,Experimental,High
Cebpg,12611,Il10,16153,tred,Experimental,High
Cebpg,12611,Retn,57264,tred,Experimental,High
Clock,12753,Per1,18626,kegg,Kegg,biogrid,Experimental,High
Clock,12753,Per3,18628,kegg,Kegg,biogrid,Experimental,High
Clock,12753,Rorc,19885,kegg,Experimental,High
Clock,12753,Bhlhe40,20893,kegg,Experimental,High
Clock,12753,Rorb,225998,kegg,Experimental,High
Clock,12753,Per2,18627,kegg,Kegg,biogrid,intact,Experimental,High
Clock,12753,Rora,19883,kegg,Experimental,High
Clock,12753,Cry2,12953,kegg,Kegg,biogrid,intact,Experimental,High
Clock,12753,Cry1,12952,kegg,Kegg,biogrid,intact,Experimental,High
Clock,12753,Bhlhe41,79362,kegg,intact,Experimental,High
Clock,12753,Nr1d1,217166,kegg,Experimental,High
Creb1,12912,Ren1,19701,tred,Experimental,High
Creb1,12912,H2-Ea-ps,100504404,kegg,Experimental,High
Creb1,12912,Npy,109648,kegg,string,Experimental,High
Creb1,12912,Slc5a5,114479,tred,Experimental,High
Creb1,12912,Adcy8,11514,ucsc,tred,Experimental,High
Creb1,12912,Aqp2,11827,kegg,string,Experimental,High
Creb1,12912,Arc,11838,kegg,Experimental,High
Creb1,12912,Barx2,12023,tred,biogrid,intact,string,Experimental,High
Creb1,12912,Bcl2,12043,tred,kegg,Experimental,High
Creb1,12912,Bdkrb1,12061,tred,Experimental,High
Creb1,12912,Bdnf,12064,kegg,string,Experimental,High
Creb1,12912,Brca1,12189,ucsc,tred,Experimental,High
Creb1,12912,Brca2,12190,tred,Experimental,High
Creb1,12912,Cacna1s,12292,ucsc,tred,Experimental,High
Creb1,12912,Ccnd1,12443,tred,string,Experimental,High
Creb1,12912,Ccnd2,12444,ucsc,tred,Experimental,High
Creb1,12912,Cd3d,12500,tred,Experimental,High
Creb1,12912,Cdk1,12534,tred,Experimental,High
Creb1,12912,Ift81,12589,tred,Experimental,High
Creb1,12912,Cebpb,12608,tred,Experimental,High
Creb1,12912,Cebpd,12609,tred,Experimental,High
Creb1,12912,Chga,12652,tred,Experimental,High
Creb1,12912,Chgb,12653,tred,Experimental,High
Creb1,12912,Crebbp,12914,tred,Kegg,biogrid,Experimental,High
Creb1,12912,Crh,12918,kegg,string,Experimental,High
Creb1,12912,Cryaa,12954,tred,Experimental,High
Creb1,12912,Ctf1,13019,tred,Experimental,High
Creb1,12912,Cyp11a1,13070,tred,Experimental,High
Creb1,12912,Dbh,13166,tred,Experimental,High
Creb1,12912,Fos,14281,tred,kegg,string,Experimental,High
Creb1,12912,Fosb,14282,ucsc,kegg,Experimental,High
Creb1,12912,Fst,14313,tred,Experimental,High
Creb1,12912,Galr1,14427,tred,Experimental,High
Creb1,12912,Gfap,14580,tred,Experimental,High
Creb1,12912,Gnrhr,14715,tred,Experimental,High
Creb1,12912,Grin2b,14812,tred,Experimental,High
Creb1,12912,Nr3c1,14815,ucsc,tred,Experimental,High
Creb1,12912,Hspa5,14828,tred,Experimental,High
Creb1,12912,Gzmb,14939,tred,Experimental,High
Creb1,12912,H2-Aa,14960,kegg,Experimental,High
Creb1,12912,H2-Ab1,14961,kegg,Experimental,High
Creb1,12912,H2-Eb1,14969,kegg,Experimental,High
Creb1,12912,H2-DMa,14998,ucsc,kegg,Experimental,High
Creb1,12912,H2-DMb1,14999,kegg,Experimental,High
Creb1,12912,H2-DMb2,15000,kegg,Experimental,High
Creb1,12912,H2-Oa,15001,kegg,Experimental,High
Creb1,12912,H2-Ob,15002,kegg,Experimental,High
Creb1,12912,Hfe,15216,tred,Experimental,High
Creb1,12912,Hgf,15234,tred,Experimental,High
Creb1,12912,Hmox1,15368,tred,Experimental,High
Creb1,12912,Nr4a1,15370,ucsc,tred,Experimental,High
Creb1,12912,Hpgd,15446,tred,Experimental,High
Creb1,12912,Slc6a4,15567,tred,Experimental,High
Creb1,12912,Elavl1,15568,tred,Experimental,High
Creb1,12912,Cd74,16149,kegg,Experimental,High
Creb1,12912,Il2,16183,tred,string,Experimental,High
Creb1,12912,Il6,16193,tred,string,Experimental,High
Creb1,12912,Inha,16322,tred,Experimental,High
Creb1,12912,Jun,16476,tred,biogrid,Experimental,High
Creb1,12912,Kcnc1,16502,tred,string,Experimental,High
Creb1,12912,Anxa1,16952,tred,Experimental,High
Creb1,12912,Ltf,17002,tred,Experimental,High
Creb1,12912,Mcl1,17210,kegg,Experimental,High
Creb1,12912,Met,17295,tred,Experimental,High
Creb1,12912,Mif,17319,tred,Experimental,High
Creb1,12912,Mitf,17342,ucsc,kegg,string,Experimental,High
Creb1,12912,Mt3,17751,tred,Experimental,High
Creb1,12912,Myod1,17927,tred,string,Experimental,High
Creb1,12912,Nf1,18015,tred,Experimental,High
Creb1,12912,Npr1,18160,tred,Experimental,High
Creb1,12912,Ntsr2,18217,tred,Experimental,High
Creb1,12912,Pck1,18534,tred,Experimental,High
Creb1,12912,Pcna,18538,tred,kegg,Experimental,High
Creb1,12912,Pdha2,18598,tred,Experimental,High
Creb1,12912,Pdyn,18610,kegg,Experimental,High
Creb1,12912,Penk,18619,tred,Experimental,High
Creb1,12912,Per1,18626,ucsc,tred,kegg,Experimental,High
Creb1,12912,Per2,18627,tred,kegg,Experimental,High
Creb1,12912,Per3,18628,kegg,Experimental,High
Creb1,12912,Plat,18791,tred,Experimental,High
Creb1,12912,Plau,18792,tred,Experimental,High
Creb1,12912,Ppara,19013,tred,Experimental,High
Creb1,12912,Ptger2,19217,tred,Experimental,High
Creb1,12912,Ptgs2,19225,tred,string,Experimental,High
Creb1,12912,Dusp1,19252,tred,Experimental,High
